"","group","group_name","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31","C32","C33","C34","C35","C36","C37","C38","C39","C40"
"ACRY02000003.380006.381551",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"AJ242969.1.1539",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CP015906.2140419.2141977",1,"counts",438,282,863,1503,617,755,251,294,1030,953,881,348,423,394,203,500,510,310,610,898,1414,109,522,246,334,903,368,136,451,218,217,283,221,312,276,138,399,206,88,778
"FJ951901.1.1538",1,"counts",2,5,2,4,5,7,7,14,12,4,9,8,8,5,3,3,18,6,5,4,1,0,4,0,4,6,3,2,0,4,0,2,1,1,0,1,3,1,0,0
"CP012152.200511.202072",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJ879275.1.1537",1,"counts",0,0,2,0,1,3,1,1,3,1,2,1,0,2,1,0,5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GQ505032.1.1537",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HM124144.1.1537",1,"counts",0,0,76,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,564,0,2,0,0,0,0,0,0,0
"AB969423.1.1547",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EU791219.1.1536",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJ880025.1.1536",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFST01000003.1612.3154",1,"counts",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DQ288680.1.1547",1,"counts",0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DQ905283.1.1535",1,"counts",0,0,3,3,0,0,0,0,0,10,0,0,0,0,3,0,0,0,1,0,1,0,2,0,1,1,0,2,1,4,0,2,0,0,1,0,0,1,0,0
"EF031001.1.1547",1,"counts",0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"EU723854.1.1535",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"L23507.1.1535",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY959117.1.1537",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EF406864.1.1535",1,"counts",0,0,4,1,0,0,0,0,0,0,0,2,0,26,0,13,0,0,777,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,9,1,164,0
"EU845654.1.1551",1,"counts",0,0,1,3,0,0,5,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"DQ394661.1.1545",1,"counts",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EF686530.1.1533",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
"EU791081.1.1533",1,"counts",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GQ451195.1.1535",1,"counts",0,0,0,0,0,2,2,2,2,1,0,1,0,1,0,0,2,1,0,0,1,0,0,0,1,0,0,6,1,0,1,0,1,2,0,0,1,0,2,0
"AB606277.1.1532",1,"counts",1,0,9,3,0,0,0,0,2,244,0,9,3,4,7,0,0,10,1,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,1,0,0,0
"EU791131.1.1532",1,"counts",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HK555817.1.1532",1,"counts",0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,3,0,0,0,0,5,0,1,0,0,2,5,1,8,0,1,7,0,0,3,2,0
"JN713381.1.1544",1,"counts",0,1,6,1,3,5,2,4,6,4,1,12,8,11,4,7,1,1,2,4,5,0,4,2,0,1,5,0,0,1,0,0,0,0,0,2,3,0,1,2
"JQ084715.1.1532",1,"counts",0,0,2,0,1,0,0,0,3,0,0,0,1,3,0,0,1,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"AB627471.1.1543",1,"counts",2,238,282,365,342,5,1401,1055,0,4,0,1,156,11,115,0,0,0,21,56,469,0,0,0,0,28,0,0,0,0,0,14,0,0,1,0,1,0,108,0
"CDMW01000001.16532.18068",1,"counts",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDYJ01035375.5063.6592",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"FJ880194.1.1530",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"JN008436.1.1530",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LC176070.1.1536",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LN612693.1.1530",1,"counts",0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AF280866.1.1541",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"AY959035.1.1536",1,"counts",0,0,4,0,0,0,1,0,3,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"AYGZ01000001.327.1863",1,"counts",310,326,34,373,12,207,18,44,2,15,24,90,4,30,122,175,14,8,21,5,401,13,21,4,105,4,11,51,87,16,10,287,236,8,160,5,8,7,178,104
"CP006776.2018563.2020110",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CP019573.289123.290677",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HM124277.1.1529",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"JX841323.1.1541",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX898154.1.1543",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CP001918.5152784.5154334",1,"counts",2,0,0,3,6,2,0,5,3,1,4,0,1,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,3,2,0,0,0,0,0,1,0,0,0,2
"CP007391.4812088.4813634",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"EU844697.1.1539",1,"counts",0,2,6,0,0,0,0,0,0,7,0,1,10,10,0,0,8,27,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FJ879725.1.1573",1,"counts",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"HM124131.1.1528",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX218307.1.1528",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"M58839.1.1552",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB627729.1.1539",1,"counts",0,1,223,318,19,100,43,32,38,141,0,0,0,5,124,4,0,1,89,3,184,1,169,109,0,1,13,27,82,36,17,20,129,38,72,0,0,88,13,0
"AB969334.1.1539",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"AIGU01000070.44831.46365",1,"counts",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
"CZAB01000004.3636.5162",1,"counts",0,0,0,0,0,2,0,0,3,0,0,12,36,16,0,0,0,0,0,0,3,125,0,0,4,0,4,0,0,1,0,0,0,0,1,100,0,0,0,0
"EU842501.1.1537",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EU845426.1.1528",1,"counts",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HM124053.1.1527",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KC561105.1.1528",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M58837.1.1552",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB976554.1.1526",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DD361258.4.1529",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"GU084441.1.1526",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HE681389.1.1540",1,"counts",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JGZF01000005.1.1534",1,"counts",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
"ABHO01000013.881.2425",1,"counts",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EF603968.1.1525",1,"counts",42,18,15,23,18,39,28,16,22,33,46,6,6,20,10,17,29,34,18,45,15,5,14,6,52,7,5,15,10,2,0,7,4,1,21,2,13,13,12,27
"EU622700.1.1525",1,"counts",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JF712668.1.1525",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KC561128.1.1525",1,"counts",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
"ACQV01000002.9075.10620",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASTF01000015.433637.435168",1,"counts",0,2,1115,0,0,0,0,0,0,0,0,8,0,69,0,2,0,0,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"AY464464.1.1546",1,"counts",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"CP007391.155676.157218",1,"counts",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GU303678.1.1524",1,"counts",0,0,1,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,1,0,0,10,0,0,0,0,1,8,0,0,2,1,1,0,0,0,0,5,0
"JQ410832.1.1532",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX852667.1.1567",1,"counts",0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,2,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"KX570900.1.1529",1,"counts",0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
"AB506445.1.1535",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AF243154.1.1523",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"AF262239.1.1537",1,"counts",0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AIGO01000056.3386.4915",1,"counts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"AIGU01000067.2664.4193",1,"counts",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
